team,season,pass_attempts,complete_pass,incomplete_pass,interception,receptions
ARI,2012,586,337,249,21,337
ARI,2013,551,363,188,22,363
ARI,2014,556,320,236,12,320
ARI,2015,543,353,190,13,353
ARI,2016,626,383,243,17,383
ARI,2017,579,339,240,18,339
ARI,2018,476,283,193,18,283
ARI,2019,538,355,183,12,355
ARI,2020,554,387,167,13,387
ARI,2021,580,415,165,11,415
ARI,2022,643,433,210,17,433
ARI,2023,542,355,187,12,355
ATL,2012,601,422,179,14,422
ATL,2013,640,444,196,17,444
ATL,2014,612,418,194,15,418
ATL,2015,604,410,194,17,410
ATL,2016,530,374,156,7,374
ATL,2017,515,343,172,12,343
ATL,2018,609,428,181,7,428
ATL,2019,666,459,207,15,459
ATL,2020,616,408,208,11,408
ATL,2021,557,377,180,15,377
ATL,2022,402,257,145,9,257
ATL,2023,509,327,182,17,327
BAL,2012,549,334,215,11,334
BAL,2013,595,363,232,23,363
BAL,2014,536,344,192,12,344
BAL,2015,649,426,223,21,426
BAL,2016,656,439,217,16,439
BAL,2017,551,363,188,13,363
BAL,2018,544,334,210,9,334
BAL,2019,430,289,141,8,289
BAL,2020,392,257,135,11,257
BAL,2021,586,396,190,18,396
BAL,2022,470,300,170,13,300
BAL,2023,486,328,158,7,328
BUF,2012,492,309,183,17,309
BUF,2013,506,299,207,15,299
BUF,2014,563,363,200,13,363
BUF,2015,455,295,160,9,295
BUF,2016,465,286,179,7,286
BUF,2017,464,288,176,10,288
BUF,2018,475,270,205,23,270
BUF,2019,497,299,198,12,299
BUF,2020,585,410,175,11,410
BUF,2021,639,415,224,16,415
BUF,2022,559,361,198,14,361
BUF,2023,559,385,174,18,385
CAR,2012,476,284,192,12,284
CAR,2013,457,292,165,13,292
CAR,2014,530,327,203,12,327
CAR,2015,489,300,189,10,300
CAR,2016,541,306,235,19,306
CAR,2017,483,293,190,16,293
CAR,2018,543,378,165,16,378
CAR,2019,610,382,228,21,382
CAR,2020,532,373,159,16,373
CAR,2021,577,348,229,21,348
CAR,2022,441,267,174,13,267
CAR,2023,575,350,225,10,350
CHI,2012,469,287,182,16,287
CHI,2013,562,373,189,13,373
CHI,2014,590,396,194,19,396
CHI,2015,510,334,176,12,334
CHI,2016,538,347,191,19,347
CHI,2017,460,291,169,12,291
CHI,2018,497,344,153,14,344
CHI,2019,565,371,194,12,371
CHI,2020,596,402,194,16,402
CHI,2021,519,332,187,20,332
CHI,2022,361,223,138,15,223
CHI,2023,498,321,177,15,321
CIN,2012,521,335,186,16,335
CIN,2013,566,364,202,20,364
CIN,2014,486,323,163,17,323
CIN,2015,496,334,162,9,334
CIN,2016,553,364,189,8,364
CIN,2017,497,304,193,12,304
CIN,2018,526,331,195,13,331
CIN,2019,593,356,237,16,356
CIN,2020,567,372,195,11,372
CIN,2021,538,384,154,14,384
CIN,2022,597,418,179,12,418
CIN,2023,600,420,180,14,420
CLE,2012,547,328,219,18,328
CLE,2013,659,379,280,20,379
CLE,2014,485,274,211,16,274
CLE,2015,596,371,225,12,371
CLE,2016,551,338,213,14,338
CLE,2017,545,312,233,28,312
CLE,2018,553,353,200,17,353
CLE,2019,516,318,198,21,318
CLE,2020,488,315,173,8,315
CLE,2021,503,320,183,14,320
CLE,2022,523,335,188,12,335
CLE,2023,597,355,242,23,355
DAL,2012,636,434,202,19,434
DAL,2013,573,375,198,12,375
DAL,2014,464,328,136,11,328
DAL,2015,504,334,170,22,334
DAL,2016,475,325,150,6,325
DAL,2017,478,309,169,13,309
DAL,2018,519,356,163,8,356
DAL,2019,585,388,197,11,388
DAL,2020,623,413,210,13,413
DAL,2021,636,444,192,11,444
DAL,2022,537,355,182,18,355
DAL,2023,604,428,176,10,428
DEN,2012,574,402,172,11,402
DEN,2013,664,461,203,10,461
DEN,2014,590,399,191,15,399
DEN,2015,582,368,214,23,368
DEN,2016,558,339,219,11,339
DEN,2017,542,332,210,22,332
DEN,2018,571,367,204,15,367
DEN,2019,493,312,181,10,312
DEN,2020,531,317,214,23,317
DEN,2021,531,354,177,9,354
DEN,2022,555,345,210,15,345
DEN,2023,500,337,163,9,337
DET,2012,718,445,273,17,445
DET,2013,612,371,241,19,371
DET,2014,589,365,224,12,365
DET,2015,618,420,198,14,420
DET,2016,581,388,193,10,388
DET,2017,559,374,185,11,374
DET,2018,561,375,186,12,375
DET,2019,552,344,208,15,344
DET,2020,561,374,187,13,374
DET,2021,574,396,178,14,396
DET,2022,580,383,197,7,383
DET,2023,590,408,182,12,408
GB,2012,547,374,173,8,374
GB,2013,551,366,185,16,366
GB,2014,530,349,181,6,349
GB,2015,564,348,216,8,348
GB,2016,610,403,207,8,403
GB,2017,543,352,191,18,352
GB,2018,633,392,241,4,392
GB,2019,568,356,212,4,356
GB,2020,518,372,146,5,372
GB,2021,583,402,181,7,402
GB,2022,548,364,184,12,364
GB,2023,568,374,194,11,374
HOU,2012,541,354,187,13,354
HOU,2013,608,371,237,22,371
HOU,2014,469,295,174,13,295
HOU,2015,606,358,248,12,358
HOU,2016,564,347,217,16,347
HOU,2017,505,299,206,17,299
HOU,2018,491,345,146,9,345
HOU,2019,518,355,163,14,355
HOU,2020,537,383,154,7,383
HOU,2021,528,354,174,15,354
HOU,2022,559,352,207,19,352
HOU,2023,578,372,206,8,372
IND,2012,602,339,263,18,339
IND,2013,572,350,222,10,350
IND,2014,645,410,235,16,410
IND,2015,598,355,243,19,355
IND,2016,565,370,195,15,370
IND,2017,475,285,190,9,285
IND,2018,627,432,195,15,432
IND,2019,500,307,193,10,307
IND,2020,538,371,167,11,371
IND,2021,513,324,189,8,324
IND,2022,583,398,185,20,398
IND,2023,564,355,209,10,355
JAX,2012,566,328,238,17,328
JAX,2013,570,349,221,21,349
JAX,2014,538,325,213,18,325
JAX,2015,586,355,231,18,355
JAX,2016,610,369,241,16,369
JAX,2017,513,316,197,13,316
JAX,2018,523,329,194,13,329
JAX,2019,580,364,216,8,364
JAX,2020,597,387,210,16,387
JAX,2021,584,361,223,17,361
JAX,2022,585,394,191,9,394
JAX,2023,606,412,194,14,412
KC,2012,448,273,175,20,273
KC,2013,534,333,201,8,333
KC,2014,487,320,167,6,320
KC,2015,466,310,156,7,310
KC,2016,537,365,172,8,365
KC,2017,534,363,171,8,363
KC,2018,570,385,185,12,385
KC,2019,570,378,192,5,378
KC,2020,622,420,202,7,420
KC,2021,662,448,214,13,448
KC,2022,639,435,204,12,435
KC,2023,616,421,195,17,421
LA,2012,536,332,204,14,332
LA,2013,494,301,193,11,301
LA,2014,497,327,170,16,327
LA,2015,460,273,187,11,273
LA,2016,515,312,203,20,312
LA,2017,509,320,189,7,320
LA,2018,554,368,186,12,368
LA,2019,614,397,217,17,397
LA,2020,574,392,182,14,392
LA,2021,589,406,183,18,406
LA,2022,514,347,167,15,347
LA,2023,567,361,206,13,361
LAC,2012,511,338,173,15,338
LAC,2013,532,378,154,11,378
LAC,2014,555,380,175,18,380
LAC,2015,653,442,211,13,442
LAC,2016,558,349,209,21,349
LAC,2017,570,366,204,11,366
LAC,2018,500,348,152,12,348
LAC,2019,574,394,180,20,394
LAC,2020,613,413,200,10,413
LAC,2021,658,443,215,15,443
LAC,2022,699,485,214,10,485
LAC,2023,623,409,214,8,409
LV,2012,609,376,233,16,376
LV,2013,498,298,200,20,298
LV,2014,607,365,242,16,365
LV,2015,590,373,217,14,373
LV,2016,587,379,208,7,379
LV,2017,544,347,197,14,347
LV,2018,539,382,157,10,382
LV,2019,513,367,146,8,367
LV,2020,536,369,167,10,369
LV,2021,611,429,182,14,429
LV,2022,569,359,210,17,359
LV,2023,537,348,189,18,348
MIA,2012,489,293,196,13,293
MIA,2013,571,357,214,19,357
MIA,2014,582,394,188,12,394
MIA,2015,574,365,209,12,365
MIA,2016,459,316,143,15,316
MIA,2017,580,373,207,21,373
MIA,2018,440,292,148,13,292
MIA,2019,594,371,223,18,371
MIA,2020,542,370,172,13,370
MIA,2021,599,404,195,14,404
MIA,2022,568,368,200,15,368
MIA,2023,549,393,156,15,393
MIN,2012,471,300,171,12,300
MIN,2013,527,325,202,19,325
MIN,2014,494,322,172,18,322
MIN,2015,445,294,151,9,294
MIN,2016,583,414,169,5,414
MIN,2017,519,357,162,8,357
MIN,2018,593,425,168,10,425
MIN,2019,458,319,139,8,319
MIN,2020,500,349,151,13,349
MIN,2021,592,398,194,7,398
MIN,2022,654,448,206,15,448
MIN,2023,609,424,185,19,424
NE,2012,629,402,227,9,402
NE,2013,613,380,233,11,380
NE,2014,600,392,208,9,392
NE,2015,620,404,216,7,404
NE,2016,547,368,179,2,368
NE,2017,579,389,190,8,389
NE,2018,561,378,183,11,378
NE,2019,611,378,233,9,378
NE,2020,424,283,141,14,283
NE,2021,521,364,157,13,364
NE,2022,524,358,166,14,358
NE,2023,535,351,184,21,351
NO,2012,649,423,226,19,423
NO,2013,638,446,192,12,446
NO,2014,636,456,180,17,456
NO,2015,653,460,193,12,460
NO,2016,652,472,180,15,472
NO,2017,525,386,139,8,386
NO,2018,512,381,131,7,381
NO,2019,570,418,152,6,418
NO,2020,512,370,142,8,370
NO,2021,489,293,196,13,293
NO,2022,496,338,158,14,338
NO,2023,595,406,189,11,406
NYG,2012,524,323,201,15,323
NYG,2013,538,325,213,29,325
NYG,2014,592,383,209,14,383
NYG,2015,608,392,216,14,392
NYG,2016,582,377,205,16,377
NYG,2017,594,373,221,14,373
NYG,2018,570,382,188,12,382
NYG,2019,590,376,214,17,376
NYG,2020,504,321,183,11,321
NYG,2021,569,351,218,20,351
NYG,2022,509,346,163,6,346
NYG,2023,500,338,162,12,338
NYJ,2012,472,272,200,19,272
NYJ,2013,457,266,191,22,266
NYJ,2014,480,287,193,15,287
NYJ,2015,588,362,226,16,362
NYJ,2016,525,311,214,25,311
NYJ,2017,493,323,170,12,323
NYJ,2018,503,299,204,19,299
NYJ,2019,503,323,180,16,323
NYJ,2020,482,292,190,14,292
NYJ,2021,582,357,225,20,357
NYJ,2022,613,357,256,14,357
NYJ,2023,583,356,227,15,356
PHI,2012,599,367,232,15,367
PHI,2013,499,310,189,9,310
PHI,2014,599,384,215,21,384
PHI,2015,604,405,199,18,405
PHI,2016,593,380,213,14,380
PHI,2017,555,341,214,9,341
PHI,2018,584,422,162,11,422
PHI,2019,604,391,213,8,391
PHI,2020,576,334,242,20,334
PHI,2021,482,307,175,10,307
PHI,2022,526,350,176,9,350
PHI,2023,547,369,178,16,369
PIT,2012,554,354,200,14,354
PIT,2013,566,377,189,14,377
PIT,2014,593,411,182,10,411
PIT,2015,567,391,176,21,391
PIT,2016,577,381,196,15,381
PIT,2017,571,384,187,15,384
PIT,2018,669,459,210,17,459
PIT,2019,491,315,176,19,315
PIT,2020,645,428,217,11,428
PIT,2021,650,425,225,11,425
PIT,2022,555,364,191,14,364
PIT,2023,495,323,172,9,323
SEA,2012,395,259,136,10,259
SEA,2013,409,267,142,9,267
SEA,2014,446,287,159,7,287
SEA,2015,479,333,146,8,333
SEA,2016,553,368,185,12,368
SEA,2017,539,340,199,12,340
SEA,2018,412,280,132,7,280
SEA,2019,508,341,167,6,341
SEA,2020,549,388,161,13,388
SEA,2021,487,324,163,7,324
SEA,2022,560,399,161,12,399
SEA,2023,559,371,188,12,371
SF,2012,428,289,139,8,289
SF,2013,409,244,165,8,244
SF,2014,477,292,185,10,292
SF,2015,514,322,192,12,322
SF,2016,480,287,193,10,287
SF,2017,589,362,227,15,362
SF,2018,508,331,177,20,331
SF,2019,463,331,132,13,331
SF,2020,552,371,181,17,371
SF,2021,497,343,154,14,343
SF,2022,503,338,165,9,338
SF,2023,475,336,139,12,336
TB,2012,547,311,236,17,311
TB,2013,502,291,211,12,291
TB,2014,506,301,205,20,301
TB,2015,518,312,206,15,312
TB,2016,560,355,205,18,355
TB,2017,588,378,210,14,378
TB,2018,598,408,190,26,408
TB,2019,598,382,216,30,382
TB,2020,610,410,200,12,410
TB,2021,717,492,225,12,492
TB,2022,738,499,239,10,499
TB,2023,558,364,194,10,364
TEN,2012,524,318,206,16,318
TEN,2013,513,328,185,16,328
TEN,2014,494,299,195,16,299
TEN,2015,530,342,188,17,342
TEN,2016,488,307,181,11,307
TEN,2017,478,306,172,17,306
TEN,2018,425,293,132,12,293
TEN,2019,435,297,138,8,297
TEN,2020,478,316,162,7,316
TEN,2021,520,359,161,14,359
TEN,2022,444,285,159,11,285
TEN,2023,479,304,175,11,304
WAS,2012,432,291,141,8,291
WAS,2013,589,355,234,19,355
WAS,2014,529,364,165,18,364
WAS,2015,544,386,158,11,386
WAS,2016,592,407,185,12,407
WAS,2017,527,347,180,13,347
WAS,2018,490,311,179,15,311
WAS,2019,463,298,165,13,298
WAS,2020,585,389,196,16,389
WAS,2021,532,356,176,15,356
WAS,2022,536,344,192,16,344
WAS,2023,615,407,208,21,407
