team,season,total_points,td_points,xp_points,fg_points
ARI,2012,268,168,25,75
ARI,2013,349,222,37,90
ARI,2014,282,168,27,87
ARI,2015,455,318,53,84
ARI,2016,412,306,43,63
ARI,2017,305,186,23,96
ARI,2018,227,168,23,36
ARI,2019,385,258,34,93
ARI,2020,426,312,45,69
ARI,2021,452,312,47,93
ARI,2022,312,204,24,84
ARI,2023,334,228,22,84
ATL,2012,413,270,44,99
ATL,2013,357,246,39,72
ATL,2014,391,264,40,87
ATL,2015,331,222,34,75
ATL,2016,518,360,56,102
ATL,2017,353,216,35,102
ATL,2018,416,300,41,75
ATL,2019,377,252,29,96
ATL,2020,388,240,34,114
ATL,2021,321,210,30,81
ATL,2022,339,210,33,96
ATL,2023,315,192,27,96
BAL,2012,396,264,42,90
BAL,2013,332,192,26,114
BAL,2014,393,264,42,87
BAL,2015,332,204,29,99
BAL,2016,327,186,27,114
BAL,2017,369,228,39,102
BAL,2018,369,228,36,105
BAL,2019,495,354,57,84
BAL,2020,454,324,52,78
BAL,2021,395,258,32,105
BAL,2022,352,210,31,111
BAL,2023,477,330,51,96
BUF,2012,348,246,39,63
BUF,2013,341,210,32,99
BUF,2014,331,198,31,102
BUF,2015,367,264,34,69
BUF,2016,379,282,40,57
BUF,2017,296,180,29,87
BUF,2018,295,204,25,66
BUF,2019,318,222,30,66
BUF,2020,477,336,57,84
BUF,2021,477,342,51,84
BUF,2022,447,318,48,81
BUF,2023,433,312,49,72
CAR,2012,361,270,43,48
CAR,2013,342,228,42,72
CAR,2014,343,222,34,87
CAR,2015,488,342,56,90
CAR,2016,373,252,31,90
CAR,2017,361,240,34,87
CAR,2018,376,282,37,57
CAR,2019,352,246,31,75
CAR,2020,342,222,33,87
CAR,2021,308,204,26,78
CAR,2022,339,210,30,99
CAR,2023,242,150,17,75
CHI,2012,334,210,40,84
CHI,2013,435,312,45,78
CHI,2014,321,252,33,36
CHI,2015,361,234,28,99
CHI,2016,277,192,31,54
CHI,2017,248,174,26,48
CHI,2018,387,276,42,69
CHI,2019,270,174,27,69
CHI,2020,372,246,36,90
CHI,2021,303,198,27,78
CHI,2022,342,240,27,75
CHI,2023,376,240,31,105
CIN,2012,391,258,43,90
CIN,2013,412,306,52,54
CIN,2014,375,258,39,78
CIN,2015,429,312,48,69
CIN,2016,323,210,29,84
CIN,2017,284,198,32,54
CIN,2018,348,252,39,57
CIN,2019,303,198,24,81
CIN,2020,323,210,32,81
CIN,2021,464,330,47,87
CIN,2022,418,306,40,72
CIN,2023,358,240,40,78
CLE,2012,302,186,29,87
CLE,2013,300,204,33,63
CLE,2014,285,180,30,75
CLE,2015,283,174,22,87
CLE,2016,266,180,23,63
CLE,2017,256,186,25,45
CLE,2018,361,276,28,57
CLE,2019,339,234,30,75
CLE,2020,394,294,43,57
CLE,2021,337,252,37,48
CLE,2022,335,228,35,72
CLE,2023,396,264,30,102
DAL,2012,376,252,37,87
DAL,2013,407,276,47,84
DAL,2014,467,336,56,75
DAL,2015,289,174,25,90
DAL,2016,421,294,46,81
DAL,2017,372,270,36,66
DAL,2018,335,216,32,87
DAL,2019,424,288,46,90
DAL,2020,393,258,33,102
DAL,2021,482,348,47,87
DAL,2022,467,330,50,87
DAL,2023,463,306,49,108
DEN,2012,445,312,55,78
DEN,2013,594,444,75,75
DEN,2014,476,348,56,72
DEN,2015,335,210,35,90
DEN,2016,311,192,32,87
DEN,2017,291,192,27,72
DEN,2018,329,234,35,60
DEN,2019,292,180,25,87
DEN,2020,331,222,25,84
DEN,2021,345,234,33,78
DEN,2022,301,192,25,84
DEN,2023,353,234,29,90
DET,2012,416,282,38,96
DET,2013,393,294,42,57
DET,2014,311,204,32,75
DET,2015,348,246,36,66
DET,2016,328,204,31,93
DET,2017,394,264,40,90
DET,2018,336,222,30,84
DET,2019,341,228,35,78
DET,2020,383,282,38,63
DET,2021,327,222,27,78
DET,2022,449,330,47,72
DET,2023,465,360,48,57
GB,2012,413,300,50,63
GB,2013,423,282,42,99
GB,2014,458,324,53,81
GB,2015,366,258,36,72
GB,2016,434,312,44,78
GB,2017,318,240,33,45
GB,2018,364,240,34,90
GB,2019,370,264,40,66
GB,2020,509,402,59,48
GB,2021,442,318,49,75
GB,2022,364,252,37,75
GB,2023,373,258,34,81
HOU,2012,390,252,45,93
HOU,2013,308,204,26,78
HOU,2014,346,216,40,90
HOU,2015,335,234,32,69
HOU,2016,277,150,22,105
HOU,2017,332,240,32,60
HOU,2018,378,228,39,111
HOU,2019,370,270,40,60
HOU,2020,382,264,37,81
HOU,2021,268,180,25,63
HOU,2022,327,216,24,87
HOU,2023,373,240,31,102
IND,2012,355,240,37,78
IND,2013,385,246,34,105
IND,2014,476,336,50,90
IND,2015,323,216,32,75
IND,2016,419,294,44,81
IND,2017,289,180,22,87
IND,2018,449,336,44,69
IND,2019,360,258,33,69
IND,2020,421,282,43,96
IND,2021,433,300,46,87
IND,2022,299,180,23,96
IND,2023,362,228,35,99
JAX,2012,291,198,18,75
JAX,2013,253,162,22,69
JAX,2014,263,180,23,60
JAX,2015,392,282,32,78
JAX,2016,332,222,29,81
JAX,2017,373,246,37,90
