team,season,home_wins,home_losses,home_ties,away_wins,away_losses,away_ties,wins,losses,ties
ARI,2012,4,4,0,1,7,0,5,11,0
ARI,2013,6,2,0,4,4,0,10,6,0
ARI,2014,7,1,0,4,4,0,11,5,0
ARI,2015,6,2,0,7,1,0,13,3,0
ARI,2016,4,4,1,3,5,0,7,9,1
ARI,2017,5,3,0,3,5,0,8,8,0
ARI,2018,1,7,0,2,6,0,3,13,0
ARI,2019,2,6,1,3,5,0,5,11,1
ARI,2020,4,4,0,4,4,0,8,8,0
ARI,2021,3,5,0,8,1,0,11,6,0
ARI,2022,1,8,0,3,5,0,4,13,0
ARI,2023,2,6,0,2,7,0,4,13,0
ATL,2012,7,1,0,6,2,0,13,3,0
ATL,2013,3,5,0,1,7,0,4,12,0
ATL,2014,3,5,0,3,5,0,6,10,0
ATL,2015,4,4,0,4,4,0,8,8,0
ATL,2016,5,3,0,6,2,0,11,5,0
ATL,2017,5,3,0,5,3,0,10,6,0
ATL,2018,4,4,0,3,5,0,7,9,0
ATL,2019,3,5,0,4,4,0,7,9,0
ATL,2020,2,6,0,2,6,0,4,12,0
ATL,2021,2,6,0,5,4,0,7,10,0
ATL,2022,6,3,0,1,7,0,7,10,0
ATL,2023,5,3,0,2,7,0,7,10,0
BAL,2012,6,2,0,4,4,0,10,6,0
BAL,2013,6,2,0,2,6,0,8,8,0
BAL,2014,6,2,0,4,4,0,10,6,0
BAL,2015,3,5,0,2,6,0,5,11,0
BAL,2016,6,2,0,2,6,0,8,8,0
BAL,2017,5,3,0,4,4,0,9,7,0
BAL,2018,6,2,0,4,4,0,10,6,0
BAL,2019,7,1,0,7,1,0,14,2,0
BAL,2020,5,3,0,6,2,0,11,5,0
BAL,2021,5,4,0,3,5,0,8,9,0
BAL,2022,5,3,0,5,4,0,10,7,0
BAL,2023,6,3,0,7,1,0,13,4,0
BUF,2012,4,4,0,2,6,0,6,10,0
BUF,2013,4,4,0,2,6,0,6,10,0
BUF,2014,5,3,0,4,4,0,9,7,0
BUF,2015,5,3,0,3,5,0,8,8,0
BUF,2016,4,4,0,3,5,0,7,9,0
BUF,2017,6,2,0,3,5,0,9,7,0
BUF,2018,4,4,0,2,6,0,6,10,0
BUF,2019,4,4,0,6,2,0,10,6,0
BUF,2020,7,1,0,6,2,0,13,3,0
BUF,2021,6,3,0,5,3,0,11,6,0
BUF,2022,7,1,0,6,2,0,13,3,0
BUF,2023,7,2,0,4,4,0,11,6,0
CAR,2012,3,5,0,4,4,0,7,9,0
CAR,2013,7,1,0,5,3,0,12,4,0
CAR,2014,4,4,0,3,5,1,7,9,1
CAR,2015,8,0,0,7,1,0,15,1,0
CAR,2016,4,4,0,2,6,0,6,10,0
CAR,2017,6,2,0,5,3,0,11,5,0
CAR,2018,5,3,0,2,6,0,7,9,0
CAR,2019,2,6,0,3,5,0,5,11,0
CAR,2020,2,6,0,3,5,0,5,11,0
CAR,2021,2,6,0,3,6,0,5,12,0
CAR,2022,5,4,0,2,6,0,7,10,0
CAR,2023,2,6,0,0,9,0,2,15,0
CHI,2012,5,3,0,5,3,0,10,6,0
CHI,2013,5,3,0,3,5,0,8,8,0
CHI,2014,2,6,0,3,5,0,5,11,0
CHI,2015,1,7,0,5,3,0,6,10,0
CHI,2016,3,5,0,0,8,0,3,13,0
CHI,2017,3,5,0,2,6,0,5,11,0
CHI,2018,7,1,0,5,3,0,12,4,0
CHI,2019,4,4,0,4,4,0,8,8,0
CHI,2020,3,5,0,5,3,0,8,8,0
CHI,2021,3,5,0,3,6,0,6,11,0
CHI,2022,2,7,0,1,7,0,3,14,0
CHI,2023,5,3,0,2,7,0,7,10,0
CIN,2012,4,4,0,6,2,0,10,6,0
CIN,2013,8,0,0,3,5,0,11,5,0
CIN,2014,5,3,1,5,3,0,10,6,1
CIN,2015,6,2,0,6,2,0,12,4,0
CIN,2016,4,4,1,2,6,0,6,10,1
CIN,2017,4,4,0,3,5,0,7,9,0
CIN,2018,4,4,0,2,6,0,6,10,0
CIN,2019,2,6,0,0,8,0,2,14,0
CIN,2020,3,5,0,1,7,1,4,12,1
CIN,2021,5,4,0,5,3,0,10,7,0
CIN,2022,6,1,0,6,3,0,12,4,0
CIN,2023,6,3,0,3,5,0,9,8,0
CLE,2012,4,4,0,1,7,0,5,11,0
CLE,2013,3,5,0,1,7,0,4,12,0
CLE,2014,4,4,0,3,5,0,7,9,0
CLE,2015,2,6,0,1,7,0,3,13,0
CLE,2016,1,7,0,0,8,0,1,15,0
CLE,2017,0,8,0,0,8,0,0,16,0
CLE,2018,5,3,1,2,6,0,7,9,1
CLE,2019,4,4,0,2,6,0,6,10,0
CLE,2020,6,2,0,5,3,0,11,5,0
CLE,2021,6,3,0,2,6,0,8,9,0
CLE,2022,4,4,0,3,6,0,7,10,0
CLE,2023,8,1,0,3,5,0,11,6,0
DAL,2012,4,4,0,4,4,0,8,8,0
DAL,2013,5,3,0,3,5,0,8,8,0
DAL,2014,4,4,0,8,0,0,12,4,0
DAL,2015,1,7,0,3,5,0,4,12,0
DAL,2016,7,1,0,6,2,0,13,3,0
DAL,2017,3,5,0,6,2,0,9,7,0
DAL,2018,7,1,0,3,5,0,10,6,0
