team,season,receiving_td,touchdown,extra_point_attempt,field_goal_attempt,pass_td,run_td
ARI,2012,17,28,25,25,17,11
ARI,2013,25,37,37,30,25,12
ARI,2014,22,28,27,29,22,6
ARI,2015,36,53,53,28,36,16
ARI,2016,30,51,43,21,30,21
ARI,2017,25,31,23,32,25,6
ARI,2018,19,28,23,12,19,9
ARI,2019,23,43,34,31,23,18
ARI,2020,30,52,45,23,30,22
ARI,2021,28,52,47,31,28,23
ARI,2022,19,34,24,28,19,15
ARI,2023,21,38,22,28,21,17
ATL,2012,33,45,44,33,33,12
ATL,2013,30,41,39,24,30,11
ATL,2014,33,44,40,29,33,11
ATL,2015,22,37,34,25,22,14
ATL,2016,40,60,56,34,40,20
ATL,2017,23,36,35,34,23,13
ATL,2018,39,50,41,25,39,11
ATL,2019,32,42,29,32,32,10
ATL,2020,27,40,34,38,27,13
ATL,2021,23,35,30,27,23,11
ATL,2022,17,35,33,32,17,17
ATL,2023,18,32,27,32,18,14
BAL,2012,25,44,42,30,25,17
BAL,2013,23,32,26,38,23,8
BAL,2014,27,44,42,29,27,16
BAL,2015,25,34,29,33,25,9
BAL,2016,20,31,27,38,20,10
BAL,2017,22,38,39,34,22,15
BAL,2018,19,38,36,35,19,19
BAL,2019,37,59,57,28,37,21
BAL,2020,29,54,52,26,29,24
BAL,2021,24,43,32,35,24,19
BAL,2022,20,35,31,37,20,14
BAL,2023,28,55,51,32,28,26
BUF,2012,26,41,39,21,26,12
BUF,2013,19,35,32,33,19,15
BUF,2014,25,33,31,34,25,7
BUF,2015,25,44,34,23,25,19
BUF,2016,17,47,40,19,17,29
BUF,2017,18,30,29,29,18,12
BUF,2018,19,34,25,22,19,15
BUF,2019,22,37,30,22,22,13
BUF,2020,40,56,57,28,40,16
BUF,2021,36,57,51,28,36,20
BUF,2022,35,53,48,27,35,16
BUF,2023,29,52,49,24,29,22
CAR,2012,22,45,43,16,22,22
CAR,2013,24,38,42,24,24,14
CAR,2014,24,37,34,29,24,10
CAR,2015,35,57,56,30,35,21
CAR,2016,25,42,31,30,25,16
CAR,2017,23,40,34,29,23,16
CAR,2018,29,47,37,19,29,17
CAR,2019,18,41,31,25,18,20
CAR,2020,16,37,33,29,16,19
CAR,2021,16,34,26,26,16,17
CAR,2022,18,35,30,33,18,17
CAR,2023,17,25,17,25,17,8
CHI,2012,23,35,40,28,23,11
CHI,2013,39,52,45,26,39,13
CHI,2014,32,42,33,12,32,8
CHI,2015,25,39,28,33,25,13
CHI,2016,21,32,31,18,21,10
CHI,2017,14,29,26,16,14,14
CHI,2018,29,46,42,23,29,16
CHI,2019,20,29,27,23,20,8
CHI,2020,28,41,36,30,28,12
CHI,2021,18,33,27,26,18,14
CHI,2022,21,40,27,25,21,18
CHI,2023,23,40,31,35,23,16
CIN,2012,32,43,43,30,32,11
CIN,2013,35,51,52,18,35,15
CIN,2014,22,43,39,26,22,19
CIN,2015,33,52,48,23,33,19
CIN,2016,18,35,29,28,18,17
CIN,2017,26,33,32,18,26,6
CIN,2018,28,42,39,19,28,13
CIN,2019,23,33,24,27,23,9
CIN,2020,20,35,32,27,20,14
CIN,2021,38,55,47,29,38,17
CIN,2022,37,51,40,24,37,14
CIN,2023,28,40,40,26,28,12
CLE,2012,18,31,29,29,18,12
CLE,2013,29,34,33,21,29,4
CLE,2014,12,30,30,25,12,18
CLE,2015,22,29,22,29,22,5
CLE,2016,17,30,23,21,17,13
CLE,2017,19,31,25,15,19,11
CLE,2018,31,46,28,19,31,15
CLE,2019,23,39,30,25,23,16
CLE,2020,28,49,43,19,28,21
CLE,2021,22,42,37,16,22,20
CLE,2022,19,38,35,24,19,19
CLE,2023,29,44,30,34,29,15
DAL,2012,32,42,37,29,32,8
DAL,2013,33,46,47,28,33,12
DAL,2014,38,56,56,25,38,17
DAL,2015,21,29,25,30,21,8
DAL,2016,25,49,46,27,25,24
DAL,2017,27,45,36,22,27,18
DAL,2018,23,36,32,29,23,13
DAL,2019,30,48,46,30,30,18
DAL,2020,28,43,33,34,28,14
DAL,2021,42,58,47,29,42,15
DAL,2022,31,55,50,29,31,24
DAL,2023,37,51,49,36,37,14
DEN,2012,39,52,55,26,39,12
DEN,2013,57,74,75,25,57,16
DEN,2014,41,58,56,24,41,16
DEN,2015,22,35,35,30,22,13
DEN,2016,21,32,32,29,21,11
DEN,2017,22,32,27,24,22,9
DEN,2018,19,39,35,20,19,19
DEN,2019,17,30,25,29,17,11
DEN,2020,24,37,25,28,24,13
DEN,2021,21,39,33,26,21,18
DEN,2022,20,32,25,28,20,12
DEN,2023,29,39,29,30,29,8
DET,2012,28,47,38,32,28,17
DET,2013,33,49,42,19,33,15
DET,2014,22,34,32,25,22,11
DET,2015,34,41,36,22,34,7
DET,2016,25,34,31,31,25,9
DET,2017,34,44,40,30,34,10
DET,2018,24,37,30,28,24,12
DET,2019,29,38,35,26,29,8
DET,2020,30,47,38,21,30,17
DET,2021,25,37,27,26,25,12
DET,2022,32,55,47,24,32,23
DET,2023,33,60,48,19,33,27
GB,2012,40,50,50,21,40,9
GB,2013,29,47,42,33,29,18
GB,2014,38,54,53,27,38,15
GB,2015,34,43,36,24,34,9
GB,2016,41,52,44,26,41,11
GB,2017,27,40,33,15,27,13
GB,2018,26,40,34,30,26,14
GB,2019,26,44,40,22,26,18
GB,2020,49,67,59,16,49,16
GB,2021,39,53,49,25,39,13
GB,2022,28,42,37,25,28,12
GB,2023,32,43,34,27,32,10
HOU,2012,22,42,45,31,22,19
HOU,2013,25,34,26,26,25,7
HOU,2014,24,36,40,30,24,12
HOU,2015,31,39,32,23,31,8
HOU,2016,16,25,22,35,16,8
HOU,2017,31,40,32,20,31,8
HOU,2018,26,38,39,37,26,12
HOU,2019,28,45,40,20,28,17
HOU,2020,34,44,37,27,34,10
HOU,2021,21,30,25,21,21,8
HOU,2022,26,36,24,29,26,9
HOU,2023,28,40,31,34,28,10
IND,2012,26,40,37,26,26,11
IND,2013,25,41,34,35,25,15
IND,2014,46,56,50,30,46,10
IND,2015,27,36,32,25,27,6
IND,2016,35,49,44,27,35,13
IND,2017,19,30,22,29,19,11
IND,2018,42,56,44,23,42,14
IND,2019,24,43,33,23,24,18
IND,2020,25,47,43,32,25,21
IND,2021,28,50,46,29,28,22
IND,2022,22,30,23,32,22,8
IND,2023,19,38,35,33,19,19
JAX,2012,25,33,18,25,25,5
JAX,2013,20,27,22,23,20,7
JAX,2014,20,30,23,20,20,9
JAX,2015,39,47,32,26,39,8
JAX,2016,27,37,29,27,27,8
JAX,2017,22,41,37,30,22,18
JAX,2018,16,23,22,23,16,7
JAX,2019,26,29,19,33,26,3
JAX,2020,25,34,24,18,25,9
JAX,2021,14,30,18,21,14,14
JAX,2022,25,41,36,30,25,16
JAX,2023,23,40,35,30,23,17
KC,2012,13,24,17,28,13,9
KC,2013,24,44,52,22,24,17
KC,2014,19,38,38,25,19,18
KC,2015,21,41,39,30,21,20
KC,2016,20,36,36,31,20,15
KC,2017,26,39,40,41,26,13
KC,2018,52,68,65,24,52,16
KC,2019,30,48,45,34,30,17
