team,season,yps,yards_gained,air_yards,passing_yards,receiving_yards,yards_after_catch,rushing_yards
ARI,2012,7.5,7595,4862,3383,3383,1363,1207
ARI,2013,9.66,9855,5284,4291,4291,1756,1560
ARI,2014,9.29,9128,6028,3990,3990,1604,1326
ARI,2015,11.28,11337,6084,4775,4775,1782,1946
ARI,2016,9.54,10302,6204,4425,4425,1747,1739
ARI,2017,8.62,9021,5807,3979,3979,1457,1400
ARI,2018,7.55,6761,3979,2884,2884,1254,1350
ARI,2019,9.4,9287,4195,3797,3797,1880,2007
ARI,2020,9.62,10275,4460,4102,4102,1870,2257
ARI,2021,9.87,10975,4413,4619,4603,2263,2096
ARI,2022,8.3,9482,4604,3966,3966,2058,1880
ARI,2023,8.36,8954,4186,3430,3430,1669,2374
ATL,2012,10.53,10639,5004,4719,4719,2061,1411
ATL,2013,9.91,10064,4482,4549,4548,2132,1263
ATL,2014,10.52,10815,4896,4758,4758,2099,1502
ATL,2015,9.98,10604,4788,4602,4602,1856,1621
ATL,2016,11.77,11630,4637,4960,4960,2267,1941
ATL,2017,10.28,9993,4770,4146,4146,1861,1857
ATL,2018,11.1,11186,5270,4949,4949,2145,1580
ATL,2019,10.22,11140,5535,5049,5049,1899,1373
ATL,2020,9.85,10529,5417,4620,4620,1644,1544
ATL,2021,9.18,9164,4143,3987,3988,1733,1461
ATL,2022,8.36,8360,4033,2927,2927,1240,2728
ATL,2023,8.75,9471,4344,3775,3775,1769,2168
BAL,2012,9.38,9653,5498,3996,3996,1624,1916
BAL,2013,8.15,8839,5781,3914,3908,1751,1335
BAL,2014,9.83,9844,4623,3986,3986,1751,2037
BAL,2015,9.45,10193,5083,4449,4439,2128,1481
BAL,2016,9.33,9925,5042,4343,4343,2090,1476
BAL,2017,7.84,8140,3842,3235,3235,1506,1873
BAL,2018,8.73,9742,4803,3708,3718,1563,2458
BAL,2019,9.5,9901,3822,3350,3350,1447,3313
BAL,2020,8.93,8746,3521,2919,2919,1272,3083
BAL,2021,9.11,10719,5242,4267,4267,1712,2487
BAL,2022,8.73,8987,4014,3202,3202,1370,2741
BAL,2023,9.58,10194,4089,3881,3881,1827,2674
