team,season,receiving_td,touchdown,extra_point_attempt,field_goal_attempt,pass_td,run_td,yps,yards_gained,air_yards,passing_yards,receiving_yards,yards_after_catch,rushing_yards,pass_attempts,complete_pass,incomplete_pass,interception,receptions
ARI,2012,17,28,25,25,17,11,7.5,7595,4862,3383,3383,1363,1207,586,337,249,21,337
ARI,2013,25,37,37,30,25,12,9.66,9855,5284,4291,4291,1756,1560,551,363,188,22,363
ARI,2014,22,28,27,29,22,6,9.29,9128,6028,3990,3990,1604,1326,556,320,236,12,320
ARI,2015,36,53,53,28,36,16,11.28,11337,6084,4775,4775,1782,1946,543,353,190,13,353
ARI,2016,30,51,43,21,30,21,9.54,10302,6204,4425,4425,1747,1739,626,383,243,17,383
ARI,2017,25,31,23,32,25,6,8.62,9021,5807,3979,3979,1457,1400,579,339,240,18,339
ARI,2018,19,28,23,12,19,9,7.55,6761,3979,2884,2884,1254,1350,476,283,193,18,283
ARI,2019,23,43,34,31,23,18,9.4,9287,4195,3797,3797,1880,2007,538,355,183,12,355
ARI,2020,30,52,45,23,30,22,9.62,10275,4460,4102,4102,1870,2257,554,387,167,13,387
ARI,2021,28,52,47,31,28,23,9.87,10975,4413,4619,4603,2263,2096,580,415,165,11,415
ARI,2022,19,34,24,28,19,15,8.3,9482,4604,3966,3966,2058,1880,643,433,210,17,433
ARI,2023,21,38,22,28,21,17,8.36,8954,4186,3430,3430,1669,2374,542,355,187,12,355
ATL,2012,33,45,44,33,33,12,10.53,10639,5004,4719,4719,2061,1411,601,422,179,14,422
ATL,2013,30,41,39,24,30,11,9.91,10064,4482,4549,4548,2132,1263,640,444,196,17,444
ATL,2014,33,44,40,29,33,11,10.52,10815,4896,4758,4758,2099,1502,612,418,194,15,418
ATL,2015,22,37,34,25,22,14,9.98,10604,4788,4602,4602,1856,1621,604,410,194,17,410
ATL,2016,40,60,56,34,40,20,11.77,11630,4637,4960,4960,2267,1941,530,374,156,7,374
ATL,2017,23,36,35,34,23,13,10.28,9993,4770,4146,4146,1861,1857,515,343,172,12,343
ATL,2018,39,50,41,25,39,11,11.1,11186,5270,4949,4949,2145,1580,609,428,181,7,428
ATL,2019,32,42,29,32,32,10,10.22,11140,5535,5049,5049,1899,1373,666,459,207,15,459
ATL,2020,27,40,34,38,27,13,9.85,10529,5417,4620,4620,1644,1544,616,408,208,11,408
ATL,2021,23,35,30,27,23,11,9.18,9164,4143,3987,3988,1733,1461,557,377,180,15,377
ATL,2022,17,35,33,32,17,17,8.36,8360,4033,2927,2927,1240,2728,402,257,145,9,257
ATL,2023,18,32,27,32,18,14,8.75,9471,4344,3775,3775,1769,2168,509,327,182,17,327
BAL,2012,25,44,42,30,25,17,9.38,9653,5498,3996,3996,1624,1916,549,334,215,11,334
BAL,2013,23,32,26,38,23,8,8.15,8839,5781,3914,3908,1751,1335,595,363,232,23,363
BAL,2014,27,44,42,29,27,16,9.83,9844,4623,3986,3986,1751,2037,536,344,192,12,344
BAL,2015,25,34,29,33,25,9,9.45,10193,5083,4449,4439,2128,1481,649,426,223,21,426
BAL,2016,20,31,27,38,20,10,9.33,9925,5042,4343,4343,2090,1476,656,439,217,16,439
BAL,2017,22,38,39,34,22,15,7.84,8140,3842,3235,3235,1506,1873,551,363,188,13,363
BAL,2018,19,38,36,35,19,19,8.73,9742,4803,3708,3718,1563,2458,544,334,210,9,334
BAL,2019,37,59,57,28,37,21,9.5,9901,3822,3350,3350,1447,3313,430,289,141,8,289
BAL,2020,29,54,52,26,29,24,8.93,8746,3521,2919,2919,1272,3083,392,257,135,11,257
BAL,2021,24,43,32,35,24,19,9.11,10719,5242,4267,4267,1712,2487,586,396,190,18,396
BAL,2022,20,35,31,37,20,14,8.73,8987,4014,3202,3202,1370,2741,470,300,170,13,300
BAL,2023,28,55,51,32,28,26,9.58,10194,4089,3881,3881,1827,2674,486,328,158,7,328
BUF,2012,26,41,39,21,26,12,9.18,8924,3972,3430,3430,1805,2225,492,309,183,17,309
BUF,2013,19,35,32,33,19,15,8.02,8818,4506,3373,3373,1508,2338,506,299,207,15,299
BUF,2014,25,33,31,34,25,7,8.91,8979,4173,3856,3863,2084,1498,563,363,200,13,363
BUF,2015,25,44,34,23,25,19,9.37,9399,4737,3600,3600,1290,2452,455,295,160,9,295
BUF,2016,17,47,40,19,17,29,8.84,8909,4480,3250,3228,1168,2637,465,286,179,7,286
BUF,2017,18,30,29,29,18,12,7.96,7903,4128,3065,3065,1303,2034,464,288,176,10,288
BUF,2018,19,34,25,22,19,15,7.8,7811,4943,3052,3052,1354,1993,475,270,205,23,270
BUF,2019,22,37,30,22,22,13,8.74,8778,4686,3476,3476,1503,2067,497,299,198,12,299
BUF,2020,40,56,57,28,40,16,11.08,11155,5133,4786,4786,1946,1749,585,410,175,11,410
BUF,2021,36,57,51,28,36,20,9.75,10973,5355,4450,4450,1752,2229,639,415,224,16,415
BUF,2022,35,53,48,27,35,16,10.5,10685,5286,4291,4291,1593,2261,559,361,198,14,361
BUF,2023,29,52,49,24,29,22,9.78,10698,5021,4306,4306,1973,2234,559,385,174,18,385
CAR,2012,22,45,43,16,22,22,9.94,9703,4562,3927,3920,1740,2074,476,284,192,12,284
CAR,2013,24,38,42,24,24,14,8.63,8465,4238,3379,3379,1613,2043,457,292,165,13,292
