player_id,season,pass_attempts,complete_pass,incomplete_pass,pass_td,interception,receptions
00-0035676,2019,0.0,0.0,0.0,0.0,0.0,52.0
00-0035676,2020,0.0,0.0,0.0,0.0,0.0,70.0
00-0035676,2021,2.0,0.0,2.0,0.0,0.0,63.0
00-0035676,2022,0.0,0.0,0.0,0.0,0.0,88.0
00-0035676,2023,0.0,0.0,0.0,0.0,0.0,106.0
00-0031609,2016,0.0,0.0,0.0,0.0,0.0,16.0
00-0031609,2017,0.0,0.0,0.0,0.0,0.0,21.0
00-0031609,2018,0.0,0.0,0.0,0.0,0.0,3.0
00-0036265,2020,0.0,0.0,0.0,0.0,0.0,2.0
00-0036265,2021,0.0,0.0,0.0,0.0,0.0,34.0
00-0036265,2022,0.0,0.0,0.0,0.0,0.0,28.0
00-0036265,2023,0.0,0.0,0.0,0.0,0.0,22.0
00-0027942,2012,0.0,0.0,0.0,0.0,0.0,97.0
00-0027942,2013,0.0,0.0,0.0,0.0,0.0,98.0
00-0027942,2014,0.0,0.0,0.0,0.0,0.0,69.0
00-0027942,2015,0.0,0.0,0.0,0.0,0.0,86.0
00-0027942,2016,0.0,0.0,0.0,0.0,0.0,66.0
00-0027942,2017,0.0,0.0,0.0,0.0,0.0,75.0
00-0027942,2018,0.0,0.0,0.0,0.0,0.0,46.0
00-0027942,2020,0.0,0.0,0.0,0.0,0.0,47.0
00-0027942,2021,0.0,0.0,0.0,0.0,0.0,54.0
00-0027942,2022,0.0,0.0,0.0,0.0,0.0,24.0
00-0029654,2012,0.0,0.0,0.0,0.0,0.0,0.0
00-0029654,2013,0.0,0.0,0.0,0.0,0.0,8.0
00-0029654,2014,0.0,0.0,0.0,0.0,0.0,9.0
00-0038612,2023,0.0,0.0,0.0,0.0,0.0,12.0
00-0031288,2015,131.0,79.0,38.0,7.0,2.0,0.0
00-0031288,2017,15.0,7.0,7.0,0.0,0.0,0.0
00-0031288,2019,42.0,21.0,15.0,0.0,1.0,0.0
00-0031288,2020,2.0,1.0,0.0,0.0,0.0,0.0
00-0031288,2023,6.0,4.0,1.0,0.0,0.0,0.0
00-0032441,2016,0.0,0.0,0.0,0.0,0.0,7.0
00-0030540,2013,0.0,0.0,0.0,0.0,0.0,37.0
00-0030540,2014,0.0,0.0,0.0,0.0,0.0,3.0
00-0030540,2015,0.0,0.0,0.0,0.0,0.0,13.0
00-0033293,2017,0.0,0.0,0.0,0.0,0.0,9.0
00-0033293,2018,0.0,0.0,0.0,0.0,0.0,26.0
00-0033293,2019,0.0,0.0,0.0,0.0,0.0,49.0
00-0033293,2020,0.0,0.0,0.0,0.0,0.0,47.0
00-0033293,2021,0.0,0.0,0.0,0.0,0.0,52.0
00-0033293,2022,0.0,0.0,0.0,0.0,0.0,59.0
00-0033293,2023,0.0,0.0,0.0,0.0,0.0,30.0
00-0023459,2012,603.0,371.0,170.0,39.0,8.0,1.0
00-0023459,2013,311.0,193.0,90.0,18.0,6.0,0.0
00-0023459,2014,549.0,341.0,174.0,38.0,5.0,0.0
00-0023459,2015,621.0,347.0,216.0,34.0,8.0,0.0
00-0023459,2016,645.0,401.0,200.0,41.0,7.0,0.0
