player_id,season,team,position
00-0035676,2019,TEN,WR
00-0035676,2020,TEN,WR
00-0035676,2021,TEN,WR
00-0035676,2022,PHI,WR
00-0035676,2023,PHI,WR
00-0031609,2016,DEN,TE
00-0031609,2017,DEN,TE
00-0031609,2018,MIA,TE
00-0036265,2020,GB,RB
00-0036265,2021,GB,RB
00-0036265,2022,GB,RB
00-0036265,2023,GB,RB
00-0027942,2012,CIN,WR
00-0027942,2013,CIN,WR
00-0027942,2014,CIN,WR
00-0027942,2015,CIN,WR
00-0027942,2016,CIN,WR
00-0027942,2017,CIN,WR
00-0027942,2018,CIN,WR
00-0027942,2020,CIN,WR
00-0027942,2021,ARI,WR
00-0027942,2022,ARI,WR
00-0029654,2012,SF,WR
00-0029654,2013,KC,WR
00-0029654,2014,KC,WR
00-0038612,2023,NO,WR
00-0031288,2015,CIN,QB
00-0031288,2017,CIN,QB
00-0031288,2019,HOU,QB
00-0031288,2020,HOU,QB
00-0031288,2023,CIN,QB
00-0032441,2016,SF,WR
00-0030540,2013,NE,WR
00-0030540,2014,NE,WR
00-0030540,2015,NE,WR
00-0033293,2017,GB,RB
00-0033293,2018,GB,RB
00-0033293,2019,GB,RB
00-0033293,2020,GB,RB
00-0033293,2021,GB,RB
00-0033293,2022,GB,RB
00-0033293,2023,GB,RB
00-0023459,2012,GB,QB
00-0023459,2013,GB,QB
00-0023459,2014,GB,QB
00-0023459,2015,GB,QB
00-0023459,2016,GB,QB
00-0023459,2017,GB,QB
00-0023459,2018,GB,QB
00-0023459,2019,GB,QB
00-0023459,2020,GB,QB
00-0023459,2021,GB,QB
00-0023459,2022,GB,QB
00-0023459,2023,NYJ,QB
00-0030550,2013,JAX,WR
00-0030550,2014,JAX,WR
00-0032009,2015,TB,WR
00-0032009,2016,TB,WR
00-0032009,2017,TB,WR
00-0032009,2018,TB,WR
00-0032009,2019,TEN,WR
00-0032009,2020,TEN,WR
00-0032009,2021,WAS,WR
00-0033896,2017,CHI,TE
00-0033896,2018,CHI,TE
00-0033896,2019,CHI,TE
00-0033896,2020,MIA,TE
00-0033896,2021,MIA,TE
00-0030035,2014,MIN,WR
00-0030035,2015,MIN,WR
00-0030035,2016,MIN,WR
00-0030035,2017,MIN,WR
00-0030035,2018,MIN,WR
00-0030035,2019,MIN,WR
00-0030035,2020,MIN,WR
00-0030035,2021,MIN,WR
00-0030035,2022,MIN,WR
00-0030035,2023,CAR,WR
00-0036422,2020,NO,TE
00-0036422,2021,NO,TE
00-0036422,2022,NO,TE
00-0036422,2023,DEN,TE
00-0025394,2012,MIN,RB
00-0025394,2013,MIN,RB
00-0025394,2014,MIN,RB
00-0025394,2015,MIN,RB
00-0025394,2016,MIN,RB
00-0025394,2017,ARI,RB
00-0025394,2018,WAS,RB
00-0025394,2019,WAS,RB
00-0025394,2020,DET,RB
00-0025394,2021,TEN,RB
00-0025637,2012,NYG,RB
00-0025637,2013,IND,RB
00-0025637,2014,IND,RB
00-0025637,2015,IND,RB
00-0038579,2023,LV,QB
00-0031743,2015,HOU,RB
00-0031743,2016,HOU,RB
00-0031743,2017,KC,RB
00-0032745,2017,TB,TE
00-0032745,2018,TB,TE
00-0036423,2020,DEN,TE
00-0036423,2021,DEN,TE
00-0036423,2022,DEN,TE
00-0036423,2023,PHI,TE
00-0030669,2014,KC,WR
00-0030669,2015,KC,WR
00-0030669,2016,KC,WR
00-0030669,2017,KC,WR
00-0030669,2018,MIA,WR
00-0030669,2019,MIA,WR
00-0030669,2021,MIA,WR
00-0028116,2012,WAS,WR
00-0028116,2013,WAS,WR
00-0028116,2014,WAS,WR
00-0028116,2016,ATL,WR
00-0028116,2017,SF,WR
00-0028116,2018,MIN,WR
00-0037664,2022,IND,WR
00-0037664,2023,IND,WR
00-0033296,2018,CAR,RB
00-0033296,2020,CAR,RB
00-0033296,2021,NO,RB
00-0033296,2023,WAS,RB
00-0032426,2016,SEA,RB
00-0032426,2017,BAL,RB
00-0032426,2018,BAL,RB
00-0032426,2021,SEA,RB
00-0032864,2016,JAX,TE
00-0032543,2016,CIN,WR
00-0032543,2017,CIN,WR
00-0032543,2018,CIN,WR
00-0032543,2019,CIN,WR
00-0032543,2020,CIN,WR
00-0032543,2021,CAR,WR
00-0032543,2023,LAC,WR
00-0028034,2012,GB,RB
00-0028034,2013,NYJ,RB
00-0023436,2012,SF,QB
00-0023436,2013,KC,QB
00-0023436,2014,KC,QB
00-0023436,2015,KC,QB
00-0023436,2016,KC,QB
00-0023436,2017,KC,QB
00-0023436,2018,WAS,QB
00-0023436,2020,WAS,QB
00-0029623,2015,TEN,QB
00-0029623,2019,NYG,QB
00-0035104,2019,MIN,WR
00-0034972,2019,MIN,RB
00-0034972,2020,MIN,RB
00-0034972,2021,MIN,RB
00-0034972,2022,MIN,RB
00-0034972,2023,MIN,RB
00-0027346,2012,ARI,RB
00-0027346,2013,ARI,RB
00-0027346,2014,SF,RB
00-0031075,2014,HOU,RB
00-0031075,2015,HOU,RB
00-0031075,2016,HOU,RB
00-0031075,2017,HOU,RB
00-0031075,2018,HOU,RB
00-0029141,2012,WAS,RB
00-0029141,2013,WAS,RB
00-0029141,2014,WAS,RB
00-0029141,2015,WAS,RB
00-0029141,2016,DAL,RB
00-0029141,2017,DAL,RB
00-0029141,2018,SF,RB
00-0029141,2019,ARI,RB
00-0029141,2020,NYG,RB
00-0030821,2014,JAX,WR
00-0030821,2015,JAX,WR
00-0030821,2016,JAX,WR
00-0030821,2017,JAX,WR
00-0030821,2018,DAL,WR
00-0030821,2019,MIA,WR
00-0034521,2018,GB,WR
00-0034521,2019,GB,WR
00-0034521,2020,GB,WR
00-0034521,2021,GB,WR
00-0034521,2022,GB,WR
00-0034521,2023,NYJ,WR
00-0031428,2014,JAX,WR
00-0031428,2015,JAX,WR
00-0031428,2016,JAX,WR
00-0031428,2017,JAX,WR
00-0031428,2018,CHI,WR
00-0031428,2019,CHI,WR
00-0031428,2020,CHI,WR
00-0031428,2021,CHI,WR
00-0031428,2022,LA,WR
00-0031428,2023,PIT,WR
00-0029137,2012,CHI,WR
00-0029137,2013,CHI,WR
00-0029137,2014,CHI,WR
00-0029137,2015,CHI,WR
00-0029137,2016,CHI,WR
00-0029137,2017,PHI,WR
00-0029137,2018,PHI,WR
00-0029137,2019,PHI,WR
00-0029137,2020,PHI,WR
00-0033906,2017,NO,RB
00-0033906,2018,NO,RB
00-0033906,2019,NO,RB
00-0033906,2020,NO,RB
00-0033906,2021,NO,RB
00-0033906,2022,NO,RB
00-0033906,2023,NO,RB
00-0033937,2017,SEA,WR
00-0031544,2018,DAL,WR
00-0031544,2019,DAL,WR
00-0031544,2020,DAL,WR
00-0031544,2021,DAL,WR
00-0031544,2022,CLE,WR
00-0031544,2023,CLE,WR
00-0036991,2021,GB,WR
00-0036991,2022,GB,WR
00-0036991,2023,IND,WR
00-0032104,2015,DET,RB
00-0032104,2016,DET,RB
00-0032104,2017,DET,RB
00-0032104,2018,DET,RB
00-0032104,2019,MIN,RB
00-0032104,2020,MIN,RB
00-0032104,2021,CAR,RB
00-0032104,2022,LV,RB
00-0032104,2023,LV,RB
00-0036963,2021,DET,WR
00-0036963,2022,DET,WR
00-0036963,2023,DET,WR
00-0027094,2012,NYG,RB
00-0027094,2013,NYG,RB
00-0026237,2012,DEN,WR
00-0026237,2013,DEN,WR
00-0026237,2014,DEN,WR
00-0026237,2015,DEN,WR
00-0030287,2013,ARI,RB
00-0030287,2014,ARI,RB
00-0030287,2015,ARI,RB
00-0030287,2016,ARI,RB
00-0030287,2017,ARI,RB
00-0028263,2012,DAL,WR
00-0028263,2017,BUF,WR
00-0028263,2018,BUF,WR
00-0022044,2012,HOU,WR
00-0022044,2013,HOU,WR
00-0022044,2014,HOU,WR
00-0022044,2015,IND,WR
00-0022044,2016,TEN,WR
00-0033705,2019,LAC,WR
00-0027691,2012,ARI,WR
00-0027691,2013,ARI,WR
00-0027691,2014,WAS,WR
00-0027691,2015,WAS,WR
00-0027691,2016,DET,WR
00-0027691,2017,ATL,WR
00-0027691,2018,NYJ,WR
00-0027691,2019,BUF,WR
00-0027691,2020,BUF,WR
00-0027691,2021,LAC,WR
00-0031055,2014,NYG,RB
00-0031055,2015,NYG,RB
00-0031055,2017,LAC,RB
00-0038619,2023,CIN,WR
00-0029668,2012,IND,QB
00-0029668,2013,IND,QB
00-0029668,2014,IND,QB
00-0029668,2015,IND,QB
00-0029668,2016,IND,QB
00-0029668,2018,IND,QB
00-0037292,2023,IND,TE
00-0027973,2012,CIN,QB
00-0027973,2013,CIN,QB
00-0027973,2014,CIN,QB
00-0027973,2015,CIN,QB
00-0027973,2016,CIN,QB
00-0027973,2017,CIN,QB
00-0027973,2018,CIN,QB
00-0027973,2019,CIN,QB
00-0027973,2020,DAL,QB
00-0027973,2021,CHI,QB
00-0027973,2022,NO,QB
00-0027973,2023,CAR,QB
00-0035527,2019,ARI,WR
00-0035527,2020,ARI,WR
00-0035527,2021,ARI,WR
00-0035527,2022,ARI,WR
00-0032707,2018,DET,WR
00-0022084,2012,BAL,WR
00-0022084,2013,SF,WR
00-0022084,2014,SF,WR
00-0022084,2015,SF,WR
00-0022084,2016,DET,WR
00-0028163,2012,BAL,RB
00-0026465,2012,MIA,WR
00-0037175,2022,BAL,QB
00-0027772,2012,SF,RB
00-0027772,2013,SF,RB
00-0027772,2014,BUF,RB
00-0027772,2015,BUF,RB
00-0024268,2012,MIA,TE
00-0024268,2013,KC,TE
00-0024268,2014,KC,TE
00-0024268,2015,TEN,TE
00-0024268,2016,TEN,TE
00-0024268,2017,MIA,TE
00-0033455,2018,TEN,TE
00-0033455,2019,TEN,TE
00-0033455,2020,TEN,TE
00-0033455,2021,TEN,TE
00-0033455,2022,ATL,TE
00-0036336,2020,PIT,RB
00-0036336,2021,PIT,RB
00-0036336,2023,PIT,RB
00-0034353,2018,CHI,WR
00-0034353,2019,CHI,WR
00-0034353,2020,CHI,WR
00-0034353,2021,HOU,WR
00-0039164,2023,IND,QB
00-0036999,2021,CLE,WR
00-0036999,2022,CLE,WR
00-0028074,2020,KC,RB
00-0038627,2023,DET,WR
00-0035126,2021,ARI,WR
00-0026855,2012,ATL,RB
00-0026855,2013,ATL,RB
00-0026855,2014,ATL,RB
00-0026855,2015,CHI,RB
00-0026855,2016,TB,RB
00-0030789,2014,TEN,RB
00-0030789,2015,TEN,RB
00-0030789,2016,TEN,RB
00-0027793,2012,PIT,WR
00-0027793,2013,PIT,WR
00-0027793,2014,PIT,WR
00-0027793,2015,PIT,WR
00-0027793,2016,PIT,WR
00-0027793,2017,PIT,WR
00-0027793,2018,PIT,WR
00-0027793,2019,NE,WR
00-0027793,2020,TB,WR
00-0027793,2021,TB,WR
00-0034772,2018,CLE,WR
00-0034772,2019,CLE,WR
00-0034772,2020,MIA,WR
00-0036340,2020,WAS,WR
00-0021547,2017,LAC,TE
00-0021547,2018,LAC,TE
00-0036328,2020,WAS,RB
00-0036328,2021,WAS,RB
00-0036328,2022,WAS,RB
00-0036328,2023,WAS,RB
00-0036188,2020,BUF,RB
00-0033421,2017,TB,TE
00-0033421,2018,TB,TE
