player_id,season,total_yards,receiving_air_yards,yards_after_catch,rushing_yards,passing_yards,passing_air_yards,ypg
00-0035676,2019,1111.0,1107.0,465.0,60.0,0.0,0.0,69.44
00-0035676,2020,1075.0,1150.0,432.0,0.0,0.0,0.0,76.79
00-0035676,2021,879.0,1218.0,235.0,10.0,0.0,42.0,67.62
00-0035676,2022,1496.0,1750.0,552.0,0.0,0.0,0.0,88.0
00-0035676,2023,1456.0,1853.0,473.0,0.0,0.0,0.0,85.65
00-0031609,2016,160.0,135.0,50.0,0.0,0.0,0.0,26.67
00-0031609,2017,244.0,362.0,92.0,0.0,0.0,0.0,27.11
00-0031609,2018,48.0,44.0,9.0,0.0,0.0,0.0,16.0
00-0036265,2020,263.0,5.0,16.0,242.0,0.0,0.0,29.22
00-0036265,2021,1116.0,14.0,310.0,803.0,0.0,0.0,65.65
00-0036265,2022,976.0,17.0,203.0,770.0,0.0,0.0,57.41
00-0036265,2023,836.0,1.0,231.0,613.0,0.0,0.0,55.73
00-0027942,2012,1388.0,2235.0,381.0,38.0,0.0,0.0,86.75
00-0027942,2013,1426.0,2256.0,393.0,0.0,0.0,0.0,89.12
00-0027942,2014,1043.0,1548.0,314.0,2.0,0.0,0.0,86.92
00-0027942,2015,1297.0,1686.0,341.0,0.0,0.0,0.0,81.06
00-0027942,2016,964.0,1236.0,258.0,0.0,0.0,0.0,96.4
00-0027942,2017,1086.0,1873.0,297.0,0.0,0.0,0.0,67.88
00-0027942,2018,694.0,958.0,163.0,0.0,0.0,0.0,77.11
00-0027942,2020,523.0,1427.0,86.0,0.0,0.0,0.0,32.69
00-0027942,2021,848.0,1109.0,181.0,0.0,0.0,0.0,53.0
00-0027942,2022,238.0,515.0,56.0,0.0,0.0,0.0,18.31
00-0029654,2012,0.0,2.0,0.0,0.0,0.0,0.0,0.0
00-0029654,2013,136.0,200.0,44.0,6.0,0.0,0.0,19.43
00-0029654,2014,91.0,131.0,43.0,-2.0,0.0,0.0,13.0
00-0038612,2023,246.0,293.0,20.0,0.0,0.0,0.0,30.75
00-0031288,2015,828.0,0.0,0.0,37.0,791.0,972.0,118.29
00-0031288,2017,57.0,0.0,0.0,0.0,57.0,105.0,28.5
00-0031288,2019,221.0,0.0,0.0,39.0,182.0,313.0,110.5
00-0031288,2020,8.0,0.0,0.0,0.0,8.0,18.0,8.0
00-0031288,2023,10.0,0.0,0.0,0.0,10.0,-8.0,5.0
00-0032441,2016,88.0,139.0,43.0,0.0,0.0,0.0,11.0
00-0030540,2013,519.0,995.0,185.0,0.0,0.0,0.0,47.18
00-0030540,2014,38.0,54.0,21.0,0.0,0.0,0.0,9.5
00-0030540,2015,141.0,209.0,29.0,0.0,0.0,0.0,23.5
00-0033293,2017,470.0,-5.0,30.0,448.0,0.0,0.0,47.0
00-0033293,2018,934.0,9.0,221.0,728.0,0.0,0.0,77.83
00-0033293,2019,1558.0,186.0,437.0,1084.0,0.0,0.0,97.38
00-0033293,2020,1459.0,77.0,365.0,1104.0,0.0,0.0,104.21
00-0033293,2021,1190.0,56.0,412.0,799.0,0.0,0.0,79.33
00-0033293,2022,1518.0,-16.0,477.0,1121.0,0.0,0.0,89.29
00-0033293,2023,889.0,-48.0,271.0,656.0,0.0,0.0,80.82
00-0023459,2012,4279.0,-6.0,5.0,276.0,4004.0,4467.0,267.44
00-0023459,2013,2549.0,0.0,0.0,130.0,2419.0,2364.0,283.22
00-0023459,2014,4490.0,0.0,0.0,283.0,4207.0,4204.0,280.62
00-0023459,2015,3866.0,0.0,0.0,356.0,3510.0,4629.0,241.62
